screen,target_text,profile,status,raw_response,x_pred,y_pred,x_min,y_min,x_max,y_max,score,trials,trial_scores,parse_method,prompt_mode,tree_rows_sent
contacts,All contacts,baseline,co_present,"[251, 252]",251,252,142,226,342,279,1,1,1,bracket,vision,0
contacts,Your info,baseline,co_present,"[283, 409]",283,409,221,389,346,431,1,1,1,bracket,vision,0
contacts,Andres,baseline,co_present,"[277, 463]",277,463,221,431,365,494,1,1,1,bracket,vision,0
contacts,No contacts yet,baseline,co_present,"[541, 1490]",541,1490,317,1446,763,1530,1,1,1,bracket,vision,0
contacts,Contacts,baseline,co_present,"[181, 2165]",181,2165,110,2161,248,2203,1,1,1,bracket,vision,0
contacts,Highlights,baseline,co_present,"[540, 2177]",540,2177,463,2161,616,2203,1,1,1,bracket,vision,0
contacts,Organize,baseline,co_present,"[899, 2192]",899,2192,831,2161,968,2203,1,1,1,bracket,vision,0
contacts,All contacts,elder_text_heavy,co_present,"[289, 253]",289,253,142,214,436,291,1,1,1,bracket,vision,0
contacts,Your info,elder_text_heavy,co_present,"[308, 418]",308,418,221,389,400,448,1,1,1,bracket,vision,0
contacts,Andres,elder_text_heavy,co_present,"[317, 490]",317,490,221,448,412,534,1,1,1,bracket,vision,0
contacts,No contacts yet,elder_text_heavy,co_present,"[540, 1500]",540,1500,289,1453,792,1549,1,1,1,bracket,vision,0
contacts,Contacts,elder_text_heavy,co_present,"[179, 2182]",179,2182,84,2147,275,2203,1,1,1,bracket,vision,0
contacts,Highlights,elder_text_heavy,co_present,"[540, 2154]",540,2154,434,2147,646,2203,1,1,1,bracket,vision,0
contacts,Organize,elder_text_heavy,co_present,"[900, 2153]",900,2153,805,2147,994,2203,1,1,1,bracket,vision,0
contacts,All contacts,elder_zoom_heavy,co_present,"[278, 288]",278,288,162,258,394,318,1,1,1,bracket,vision,0
contacts,Your info,elder_zoom_heavy,co_present,"[321, 467]",321,467,252,444,396,492,1,1,1,bracket,vision,0
contacts,Andres,elder_zoom_heavy,co_present,"[333, 528]",333,528,252,492,415,564,1,1,1,bracket,vision,0
contacts,No contacts yet,elder_zoom_heavy,co_present,"[540, 1530]",540,1530,284,1482,796,1578,1,1,1,bracket,vision,0
contacts,Contacts,elder_zoom_heavy,co_present,"[180, 2158]",180,2158,101,2130,258,2178,1,1,1,bracket,vision,0
contacts,Highlights,elder_zoom_heavy,co_present,"[540, 2156]",540,2156,452,2130,627,2178,1,1,1,bracket,vision,0
contacts,Organize,elder_zoom_heavy,co_present,"[900, 2130]",900,2130,822,2130,977,2178,1,1,1,bracket,vision,0
contacts,All contacts,elder_combo_max,co_present,"[380, 311]",380,311,176,260,584,366,1,1,1,bracket,vision,0
contacts,Your info,elder_combo_max,co_present,"[396, 521]",396,521,273,483,523,567,1,1,1,bracket,vision,0
contacts,Andres,elder_combo_max,co_present,"[405, 625]",405,625,273,567,538,684,1,1,1,bracket,vision,0
contacts,No contacts yet,elder_combo_max,co_present,"[541, 1578]",541,1578,199,1516,881,1645,1,1,1,bracket,vision,0
contacts,Contacts,elder_combo_max,co_present,"[180, 2125]",180,2125,46,2079,314,2157,1,1,1,bracket,vision,0
contacts,Highlights,elder_combo_max,co_present,"[541, 2106]",541,2106,390,2079,690,2157,1,1,1,bracket,vision,0
contacts,Organize,elder_combo_max,co_present,"[896, 2113]",896,2113,766,2079,1033,2157,1,1,1,bracket,vision,0
contacts,All contacts,elder_combo_mid,co_present,"[345, 285]",345,285,162,241,527,336,1,1,1,bracket,vision,0
contacts,Your info,elder_combo_mid,co_present,"[362, 477]",362,477,252,444,470,516,1,1,1,bracket,vision,0
contacts,Andres,elder_combo_mid,co_present,"[369, 565]",369,565,252,516,486,620,1,1,1,bracket,vision,0
contacts,No contacts yet,elder_combo_mid,co_present,"[540, 1548]",540,1548,242,1493,839,1605,1,1,1,bracket,vision,0
contacts,Contacts,elder_combo_mid,co_present,"[180, 2155]",180,2155,63,2111,297,2178,1,1,1,bracket,vision,0
contacts,Highlights,elder_combo_mid,co_present,"[539, 2146]",539,2146,409,2111,671,2178,1,1,1,bracket,vision,0
contacts,Organize,elder_combo_mid,co_present,"[900, 2154]",900,2154,784,2111,1016,2178,1,1,1,bracket,vision,0
contacts,All contacts,colorblind_deuteranomaly,co_present,"[262, 253]",262,253,142,226,342,279,1,1,1,bracket,vision,0
contacts,Your info,colorblind_deuteranomaly,co_present,"[282, 409]",282,409,221,389,346,431,1,1,1,bracket,vision,0
contacts,Andres,colorblind_deuteranomaly,co_present,"[276, 461]",276,461,221,431,365,494,1,1,1,bracket,vision,0
contacts,No contacts yet,colorblind_deuteranomaly,co_present,"[539, 1490]",539,1490,317,1446,763,1530,1,1,1,bracket,vision,0
contacts,Contacts,colorblind_deuteranomaly,co_present,"[179, 2167]",179,2167,110,2161,248,2203,1,1,1,bracket,vision,0
contacts,Highlights,colorblind_deuteranomaly,co_present,"[540, 2160]",540,2160,463,2161,616,2203,1,1,1,bracket,vision,0
contacts,Organize,colorblind_deuteranomaly,co_present,"[900, 2161]",900,2161,831,2161,968,2203,1,1,1,bracket,vision,0
dialer,Phone Number,baseline,co_present,"[540, 500]",540,500,147,900,933,1044,0,1,0,bracket,vision,0
dialer,1,baseline,co_present,"[187, 1134]",187,1134,169,1093,203,1197,1,1,1,bracket,vision,0
dialer,2,baseline,co_present,"[540, 1170]",540,1170,518,1097,561,1201,1,1,1,bracket,vision,0
dialer,ABC,baseline,co_present,"[539, 1222]",539,1222,505,1201,574,1245,1,1,1,bracket,vision,0
dialer,3,baseline,co_present,"[893, 1170]",893,1170,870,1097,914,1201,1,1,1,bracket,vision,0
dialer,DEF,baseline,co_present,"[892, 1172]",892,1172,861,1201,924,1245,1,1,1,bracket,vision,0
dialer,4,baseline,co_present,"[187, 1363]",187,1363,163,1288,210,1392,1,1,1,bracket,vision,0
dialer,GHI,baseline,co_present,"[187, 1413]",187,1413,157,1392,216,1436,1,1,1,bracket,vision,0
dialer,5,baseline,co_present,"[540, 1339]",540,1339,516,1288,562,1392,1,1,1,bracket,vision,0
dialer,JKL,baseline,co_present,"[540, 1413]",540,1413,510,1392,569,1436,1,1,1,bracket,vision,0
dialer,6,baseline,co_present,"[892, 1340]",892,1340,869,1288,915,1392,1,1,1,bracket,vision,0
dialer,MNO,baseline,co_present,"[893, 1413]",893,1413,852,1392,933,1436,1,1,1,bracket,vision,0
dialer,7,baseline,co_present,"[187, 1552]",187,1552,166,1480,208,1584,1,1,1,bracket,vision,0
dialer,PQRS,baseline,co_present,"[188, 1604]",188,1604,142,1584,232,1628,1,1,1,bracket,vision,0
dialer,8,baseline,co_present,"[540, 1552]",540,1552,517,1480,562,1584,1,1,1,bracket,vision,0
dialer,TUV,baseline,co_present,"[540, 1606]",540,1606,507,1584,573,1628,1,1,1,bracket,vision,0
dialer,9,baseline,co_present,"[893, 1554]",893,1554,869,1480,915,1584,1,1,1,bracket,vision,0
dialer,WXYZ,baseline,co_present,"[892, 1605]",892,1605,846,1584,939,1628,1,1,1,bracket,vision,0
dialer,∗,baseline,co_present,"[187, 1746]",187,1746,168,1668,206,1780,1,1,1,bracket,vision,0
dialer,0,baseline,co_present,"[540, 1730]",540,1730,512,1672,567,1776,1,1,1,bracket,vision,0
dialer,+,baseline,co_present,"[539, 1801]",539,1801,529,1776,549,1820,1,1,1,bracket,vision,0
dialer,#,baseline,co_present,"[893, 1747]",893,1747,865,1672,921,1776,1,1,1,bracket,vision,0
dialer,Call,baseline,co_present,"[581, 1945]",581,1945,414,1871,666,2018,1,1,1,bracket,vision,0
dialer,Home,baseline,co_present,"[180, 2165]",180,2165,135,2161,224,2203,1,1,1,bracket,vision,0
dialer,Keypad,baseline,co_present,"[540, 2188]",540,2188,481,2161,597,2203,1,1,1,bracket,vision,0
dialer,Voicemail,baseline,co_present,"[894, 2185]",894,2185,826,2161,972,2203,1,1,1,bracket,vision,0
dialer,Phone Number,elder_text_heavy,co_present,"[540, 443]",540,443,147,886,933,1030,0,1,0,bracket,vision,0
dialer,1,elder_text_heavy,co_present,"[187, 1155]",187,1155,169,1079,203,1183,1,1,1,bracket,vision,0
dialer,2,elder_text_heavy,co_present,"[540, 1154]",540,1154,518,1083,561,1187,1,1,1,bracket,vision,0
dialer,ABC,elder_text_heavy,co_present,"[540, 1209]",540,1209,505,1187,574,1231,1,1,1,bracket,vision,0
dialer,3,elder_text_heavy,co_present,"[893, 1156]",893,1156,870,1083,914,1187,1,1,1,bracket,vision,0
dialer,DEF,elder_text_heavy,co_present,"[893, 1209]",893,1209,861,1187,924,1231,1,1,1,bracket,vision,0
dialer,4,elder_text_heavy,co_present,"[187, 1325]",187,1325,163,1274,210,1378,1,1,1,bracket,vision,0
dialer,GHI,elder_text_heavy,co_present,"[187, 1404]",187,1404,157,1378,216,1422,1,1,1,bracket,vision,0
dialer,5,elder_text_heavy,co_present,"[540, 1329]",540,1329,516,1274,562,1378,1,1,1,bracket,vision,0
dialer,JKL,elder_text_heavy,co_present,"[540, 1401]",540,1401,510,1378,569,1422,1,1,1,bracket,vision,0
dialer,6,elder_text_heavy,co_present,"[893, 1339]",893,1339,869,1274,915,1378,1,1,1,bracket,vision,0
dialer,MNO,elder_text_heavy,co_present,"[892, 1401]",892,1401,852,1378,933,1422,1,1,1,bracket,vision,0
dialer,7,elder_text_heavy,co_present,"[187, 1541]",187,1541,166,1466,208,1570,1,1,1,bracket,vision,0
dialer,PQRS,elder_text_heavy,co_present,"[187, 1592]",187,1592,142,1570,232,1614,1,1,1,bracket,vision,0
dialer,8,elder_text_heavy,co_present,"[540, 1520]",540,1520,517,1466,562,1570,1,1,1,bracket,vision,0
dialer,TUV,elder_text_heavy,co_present,"[540, 1592]",540,1592,507,1570,573,1614,1,1,1,bracket,vision,0
dialer,9,elder_text_heavy,co_present,"[892, 1539]",892,1539,869,1466,915,1570,1,1,1,bracket,vision,0
dialer,WXYZ,elder_text_heavy,co_present,"[893, 1592]",893,1592,846,1570,939,1614,1,1,1,bracket,vision,0
dialer,∗,elder_text_heavy,co_present,"[187, 1717]",187,1717,168,1654,206,1766,1,1,1,bracket,vision,0
dialer,0,elder_text_heavy,co_present,"[540, 1708]",540,1708,512,1658,567,1762,1,1,1,bracket,vision,0
dialer,+,elder_text_heavy,co_present,"[540, 1787]",540,1787,529,1762,549,1806,1,1,1,bracket,vision,0
dialer,#,elder_text_heavy,co_present,"[893, 1718]",893,1718,865,1658,921,1762,1,1,1,bracket,vision,0
dialer,Call,elder_text_heavy,co_present,"[541, 1930]",541,1930,400,1857,681,2004,1,1,1,bracket,vision,0
dialer,Home,elder_text_heavy,co_present,"[180, 2150]",180,2150,118,2147,241,2203,1,1,1,bracket,vision,0
dialer,Keypad,elder_text_heavy,co_present,"[540, 2160]",540,2160,461,2147,618,2203,1,1,1,bracket,vision,0
dialer,Voicemail,elder_text_heavy,co_present,"[899, 2153]",899,2153,800,2147,1000,2203,1,1,1,bracket,vision,0
dialer,Phone Number,elder_zoom_heavy,co_present,"[540, 450]",540,450,168,690,912,855,0,1,0,bracket,vision,0
dialer,1,elder_zoom_heavy,co_present,"[188, 1001]",188,1001,168,911,207,1029,1,1,1,bracket,vision,0
dialer,2,elder_zoom_heavy,co_present,"[540, 1001]",540,1001,514,916,564,1034,1,1,1,bracket,vision,0
dialer,ABC,elder_zoom_heavy,co_present,"[540, 1059]",540,1059,500,1034,579,1085,1,1,1,bracket,vision,0
dialer,3,elder_zoom_heavy,co_present,"[891, 1001]",891,1001,866,916,916,1034,1,1,1,bracket,vision,0
dialer,DEF,elder_zoom_heavy,co_present,"[892, 1058]",892,1058,855,1034,928,1085,1,1,1,bracket,vision,0
dialer,4,elder_zoom_heavy,co_present,"[188, 1219]",188,1219,160,1135,214,1253,1,1,1,bracket,vision,0
dialer,GHI,elder_zoom_heavy,co_present,"[188, 1279]",188,1279,154,1253,221,1304,1,1,1,bracket,vision,0
dialer,5,elder_zoom_heavy,co_present,"[540, 1206]",540,1206,514,1135,566,1253,1,1,1,bracket,vision,0
dialer,JKL,elder_zoom_heavy,co_present,"[540, 1277]",540,1277,506,1253,574,1304,1,1,1,bracket,vision,0
dialer,6,elder_zoom_heavy,co_present,"[891, 1217]",891,1217,865,1135,918,1253,1,1,1,bracket,vision,0
dialer,MNO,elder_zoom_heavy,co_present,"[892, 1278]",892,1278,845,1253,938,1304,1,1,1,bracket,vision,0
dialer,7,elder_zoom_heavy,co_present,"[188, 1437]",188,1437,163,1354,211,1472,1,1,1,bracket,vision,0
dialer,PQRS,elder_zoom_heavy,co_present,"[188, 1497]",188,1497,136,1472,239,1523,1,1,1,bracket,vision,0
dialer,8,elder_zoom_heavy,co_present,"[540, 1427]",540,1427,514,1354,565,1472,1,1,1,bracket,vision,0
dialer,TUV,elder_zoom_heavy,co_present,"[540, 1499]",540,1499,502,1472,577,1523,1,1,1,bracket,vision,0
dialer,9,elder_zoom_heavy,co_present,"[891, 1438]",891,1438,865,1354,918,1472,1,1,1,bracket,vision,0
dialer,WXYZ,elder_zoom_heavy,co_present,"[892, 1500]",892,1500,839,1472,945,1523,1,1,1,bracket,vision,0
dialer,∗,elder_zoom_heavy,co_present,"[188, 1636]",188,1636,166,1568,209,1696,1,1,1,bracket,vision,0
dialer,0,elder_zoom_heavy,co_present,"[540, 1657]",540,1657,508,1573,571,1691,1,1,1,bracket,vision,0
dialer,+,elder_zoom_heavy,co_present,"[540, 1720]",540,1720,528,1691,551,1742,1,1,1,bracket,vision,0
dialer,#,elder_zoom_heavy,co_present,"[891, 1657]",891,1657,860,1573,924,1691,1,1,1,bracket,vision,0
dialer,Call,elder_zoom_heavy,co_present,"[586, 1886]",586,1886,396,1800,684,1968,1,1,1,bracket,vision,0
dialer,Home,elder_zoom_heavy,co_present,"[179, 2155]",179,2155,129,2130,230,2178,1,1,1,bracket,vision,0
dialer,Keypad,elder_zoom_heavy,co_present,"[540, 2161]",540,2161,475,2130,605,2178,1,1,1,bracket,vision,0
dialer,Voicemail,elder_zoom_heavy,co_present,"[901, 2161]",901,2161,817,2130,982,2178,1,1,1,bracket,vision,0
dialer,Phone Number,elder_combo_max,co_present,"[540, 257]",540,257,182,518,898,697,0,1,0,bracket,vision,0
dialer,1,elder_combo_max,co_present,"[189, 851]",189,851,167,758,209,885,1,1,1,bracket,vision,0
dialer,2,elder_combo_max,co_present,"[539, 854]",539,854,513,764,566,891,1,1,1,bracket,vision,0
dialer,ABC,elder_combo_max,co_present,"[540, 917]",540,917,497,891,582,945,1,1,1,bracket,vision,0
dialer,3,elder_combo_max,co_present,"[891, 824]",891,824,863,764,917,891,1,1,1,bracket,vision,0
dialer,DEF,elder_combo_max,co_present,"[891, 917]",891,917,851,891,930,945,1,1,1,bracket,vision,0
dialer,4,elder_combo_max,co_present,"[189, 1062]",189,1062,159,1001,217,1128,1,1,1,bracket,vision,0
dialer,GHI,elder_combo_max,co_present,"[189, 1154]",189,1154,152,1128,225,1182,1,1,1,bracket,vision,0
dialer,5,elder_combo_max,co_present,"[540, 1084]",540,1084,511,1001,567,1128,1,1,1,bracket,vision,0
dialer,JKL,elder_combo_max,co_present,"[540, 1154]",540,1154,503,1128,575,1182,1,1,1,bracket,vision,0
dialer,6,elder_combo_max,co_present,"[891, 1063]",891,1063,862,1001,919,1128,1,1,1,bracket,vision,0
dialer,MNO,elder_combo_max,co_present,"[891, 1154]",891,1154,841,1128,940,1182,1,1,1,bracket,vision,0
dialer,7,elder_combo_max,co_present,"[188, 1300]",188,1300,162,1238,214,1365,1,1,1,bracket,vision,0
dialer,PQRS,elder_combo_max,co_present,"[188, 1390]",188,1390,133,1365,244,1419,1,1,1,bracket,vision,0
dialer,8,elder_combo_max,co_present,"[540, 1300]",540,1300,511,1238,566,1365,1,1,1,bracket,vision,0
dialer,TUV,elder_combo_max,co_present,"[540, 1391]",540,1391,499,1365,579,1419,1,1,1,bracket,vision,0
dialer,9,elder_combo_max,co_present,"[891, 1329]",891,1329,862,1238,919,1365,1,1,1,bracket,vision,0
dialer,WXYZ,elder_combo_max,co_present,"[890, 1391]",890,1391,834,1365,947,1419,1,1,1,bracket,vision,0
dialer,∗,elder_combo_max,co_present,"[189, 1548]",189,1548,165,1470,212,1608,1,1,1,bracket,vision,0
dialer,0,elder_combo_max,co_present,"[540, 1565]",540,1565,506,1475,573,1602,1,1,1,bracket,vision,0
dialer,+,elder_combo_max,co_present,"[539, 1632]",539,1632,527,1602,552,1656,1,1,1,bracket,vision,0
dialer,#,elder_combo_max,co_present,"[891, 1565]",891,1565,856,1475,925,1602,1,1,1,bracket,vision,0
dialer,Call,elder_combo_max,co_present,"[597, 1813]",597,1813,360,1721,720,1903,1,1,1,bracket,vision,0
dialer,Home,elder_combo_max,co_present,"[180, 2119]",180,2119,93,2079,266,2157,1,1,1,bracket,vision,0
dialer,Keypad,elder_combo_max,co_present,"[539, 2109]",539,2109,429,2079,651,2157,1,1,1,bracket,vision,0
dialer,Voicemail,elder_combo_max,co_present,"[892, 2118]",892,2118,757,2079,1042,2157,1,1,1,bracket,vision,0
dialer,Phone Number,elder_combo_mid,co_present,"[540, 336]",540,336,168,671,912,836,0,1,0,bracket,vision,0
dialer,1,elder_combo_mid,co_present,"[188, 981]",188,981,168,892,207,1010,1,1,1,bracket,vision,0
dialer,2,elder_combo_mid,co_present,"[540, 982]",540,982,514,897,564,1015,1,1,1,bracket,vision,0
dialer,ABC,elder_combo_mid,co_present,"[540, 1041]",540,1041,500,1015,579,1066,1,1,1,bracket,vision,0
dialer,3,elder_combo_mid,co_present,"[891, 981]",891,981,866,897,916,1015,1,1,1,bracket,vision,0
dialer,DEF,elder_combo_mid,co_present,"[892, 983]",892,983,855,1015,928,1066,0,1,0,bracket,vision,0
dialer,4,elder_combo_mid,co_present,"[188, 1200]",188,1200,160,1116,214,1234,1,1,1,bracket,vision,0
dialer,GHI,elder_combo_mid,co_present,"[188, 1258]",188,1258,154,1234,221,1285,1,1,1,bracket,vision,0
dialer,5,elder_combo_mid,co_present,"[540, 1171]",540,1171,514,1116,566,1234,1,1,1,bracket,vision,0
dialer,JKL,elder_combo_mid,co_present,"[540, 1259]",540,1259,506,1234,574,1285,1,1,1,bracket,vision,0
dialer,6,elder_combo_mid,co_present,"[892, 1200]",892,1200,865,1116,918,1234,1,1,1,bracket,vision,0
dialer,MNO,elder_combo_mid,co_present,"[892, 1257]",892,1257,845,1234,938,1285,1,1,1,bracket,vision,0
dialer,7,elder_combo_mid,co_present,"[188, 1417]",188,1417,163,1335,211,1453,1,1,1,bracket,vision,0
dialer,PQRS,elder_combo_mid,co_present,"[188, 1477]",188,1477,136,1453,239,1504,1,1,1,bracket,vision,0
dialer,8,elder_combo_mid,co_present,"[540, 1406]",540,1406,514,1335,565,1453,1,1,1,bracket,vision,0
dialer,TUV,elder_combo_mid,co_present,"[540, 1478]",540,1478,502,1453,577,1504,1,1,1,bracket,vision,0
dialer,9,elder_combo_mid,co_present,"[891, 1418]",891,1418,865,1335,918,1453,1,1,1,bracket,vision,0
dialer,WXYZ,elder_combo_mid,co_present,"[892, 1479]",892,1479,839,1453,945,1504,1,1,1,bracket,vision,0
dialer,∗,elder_combo_mid,co_present,"[187, 1638]",187,1638,166,1549,209,1677,1,1,1,bracket,vision,0
dialer,0,elder_combo_mid,co_present,"[540, 1615]",540,1615,508,1554,571,1672,1,1,1,bracket,vision,0
dialer,+,elder_combo_mid,co_present,"[540, 1701]",540,1701,528,1672,551,1723,1,1,1,bracket,vision,0
dialer,#,elder_combo_mid,co_present,"[892, 1639]",892,1639,860,1554,924,1672,1,1,1,bracket,vision,0
dialer,Call,elder_combo_mid,co_present,"[540, 1865]",540,1865,377,1781,704,1949,1,1,1,bracket,vision,0
dialer,Home,elder_combo_mid,co_present,"[180, 2070]",180,2070,104,2111,255,2178,0,1,0,bracket,vision,0
dialer,Keypad,elder_combo_mid,co_present,"[540, 2155]",540,2155,443,2111,637,2178,1,1,1,bracket,vision,0
dialer,Voicemail,elder_combo_mid,co_present,"[901, 2151]",901,2151,776,2111,1024,2178,1,1,1,bracket,vision,0
dialer,Phone Number,colorblind_deuteranomaly,co_present,"[540, 620]",540,620,147,900,933,1044,0,1,0,bracket,vision,0
dialer,1,colorblind_deuteranomaly,co_present,"[187, 1171]",187,1171,169,1093,203,1197,1,1,1,bracket,vision,0
dialer,2,colorblind_deuteranomaly,co_present,"[540, 1169]",540,1169,518,1097,561,1201,1,1,1,bracket,vision,0
dialer,ABC,colorblind_deuteranomaly,co_present,"[540, 1223]",540,1223,505,1201,574,1245,1,1,1,bracket,vision,0
dialer,3,colorblind_deuteranomaly,co_present,"[893, 1171]",893,1171,870,1097,914,1201,1,1,1,bracket,vision,0
dialer,DEF,colorblind_deuteranomaly,co_present,"[892, 1223]",892,1223,861,1201,924,1245,1,1,1,bracket,vision,0
dialer,4,colorblind_deuteranomaly,co_present,"[187, 1338]",187,1338,163,1288,210,1392,1,1,1,bracket,vision,0
dialer,GHI,colorblind_deuteranomaly,co_present,"[187, 1414]",187,1414,157,1392,216,1436,1,1,1,bracket,vision,0
dialer,5,colorblind_deuteranomaly,co_present,"[540, 1339]",540,1339,516,1288,562,1392,1,1,1,bracket,vision,0
dialer,JKL,colorblind_deuteranomaly,co_present,"[540, 1413]",540,1413,510,1392,569,1436,1,1,1,bracket,vision,0
dialer,6,colorblind_deuteranomaly,co_present,"[894, 1336]",894,1336,869,1288,915,1392,1,1,1,bracket,vision,0
dialer,MNO,colorblind_deuteranomaly,co_present,"[892, 1415]",892,1415,852,1392,933,1436,1,1,1,bracket,vision,0
dialer,7,colorblind_deuteranomaly,co_present,"[187, 1553]",187,1553,166,1480,208,1584,1,1,1,bracket,vision,0
dialer,PQRS,colorblind_deuteranomaly,co_present,"[187, 1607]",187,1607,142,1584,232,1628,1,1,1,bracket,vision,0
dialer,8,colorblind_deuteranomaly,co_present,"[540, 1554]",540,1554,517,1480,562,1584,1,1,1,bracket,vision,0
